"flnatureza";"nmprimeiro";"nmsegundo";"dscep";"dsdocumento"
2;"Victor";"Ribeiro";"60812-465";"248.465.975-04"
2;"Larissa";"Cavalcanti";"59614-570";"874.096.790-50"
2;"Miguel";"Correia";"54768-430";"545.322.499-10"
1;"Fábio";"Carvalho";"79092-114";"408.928.183-01"
1;"Gustavo";"Souza";"31760-370";"774.146.598-87"
1;"Camila";"Dias";"35500-875";"805.353.998-04"
1;"Nicolash";"Rocha";"75073-150";"188.808.748-02"
1;"Maria";"Correia";"04644-000";"774.197.267-79"
1;"Paulo";"Barros";"32560-210";"896.711.521-04"
1;"Kaua";"Martins";"07150-110";"159.756.159-25"
1;"Isabella";"Silva";"05266-070";"855.701.030-31"
2;"Diogo";"Silva";"72603-200";"859.251.700-16"
2;"Tiago";"Cunha";"13185-829";"584.257.627-90"
2;"Kauã";"Cunha";"84070-210";"199.933.940-17"
1;"Miguel";"Rocha";"38411-106";"980.258.419-36"
1;"Lavinia";"Pereira";"05870-060";"907.255.408-69"
1;"Julieta";"Cavalcanti";"94190-060";"802.431.347-20"
1;"Giovana";"Ferreira";"11669-050";"424.328.010-08"
2;"Maria";"Pereira";"69058-750";"860.778.034-48"
1;"Tomás";"Silva";"25815-570";"179.477.081-00"
1;"Amanda";"Ferreira";"26371-510";"136.865.821-04"
1;"Bruno";"Souza";"39404-153";"183.167.998-12"
1;"Sarah";"Araujo";"04119-090";"664.680.031-64"
1;"Mateus";"Carvalho";"27351-730";"860.326.040-04"
2;"Breno";"Pereira";"04233-090";"916.743.433-96"
1;"Caio";"Cunha";"22710-122";"343.019.932-82"
2;"Diogo";"Pereira";"12328-085";"437.953.417-01"
2;"Kauê";"Santos";"14400-459";"293.548.109-77"
1;"Erick";"Correia";"08504-236";"961.914.885-13"
2;"Camila";"Castro";"18608-025";"284.365.696-60"
2;"Livia";"Sousa";"08625-540";"820.089.081-35"
1;"Maria";"Rocha";"86041-440";"652.674.176-29"
2;"Guilherme";"Goncalves";"57045-700";"932.346.345-05"
2;"Luana";"Cunha";"17063-373";"357.373.437-58"
1;"Joao";"Costa";"18681-830";"613.663.359-02"
1;"Yasmin";"Melo";"56304-090";"240.575.787-73"
2;"Tiago";"Alves";"18131-030";"724.137.153-47"
2;"Breno";"Pinto";"35931-059";"473.977.112-86"
1;"Giovanna";"Barros";"25615-540";"787.217.802-85"
1;"Vitór";"Araujo";"12720-740";"250.378.396-10"
1;"Gabriela";"Castro";"59076-760";"113.417.175-77"
2;"Ryan";"Lima";"73330-029";"816.903.691-75"
2;"Evelyn";"Sousa";"88045-350";"212.263.090-62"
1;"Davi";"Silva";"08633-516";"513.400.354-80"
2;"Sophia";"Barros";"60545-490";"279.400.537-52"
2;"Kai";"Araujo";"13476-720";"477.846.142-84"
2;"Gabrielly";"Goncalves";"93115-140";"229.240.224-60"
2;"Vitória";"Almeida";"88104-450";"169.711.132-76"
2;"Leonor";"Carvalho";"90830-350";"168.140.023-53"
2;"Luiza";"Correia";"77080-060";"281.181.098-60"
2;"Enzo";"Souza";"12420-050";"769.873.242-80"
2;"Kauê";"Oliveira";"74954-340";"116.686.973-35"
1;"Eduardo";"Rocha";"58100-680";"240.647.818-13"
1;"Matheus";"Rodrigues";"02207-050";"139.762.885-51"
1;"Gabrielly";"Rodrigues";"38066-270";"953.021.800-14"
1;"Bruna";"Barros";"15053-150";"715.417.578-82"
1;"João";"Almeida";"23555-180";"748.784.890-65"
2;"Gabriela";"Pinto";"12916-760";"732.534.594-11"
1;"Alex";"Santos";"13845-231";"261.668.542-69"
2;"Clara";"Fernandes";"78075-150";"809.455.813-00"
2;"João";"Souza";"74333-215";"846.940.296-06"
1;"Bianca";"Souza";"31872-800";"784.446.842-44"
1;"Julia";"Pinto";"88302-060";"898.981.813-38"
2;"Vitór";"Dias";"39802-184";"861.718.973-88"
1;"Marisa";"Castro";"02278-090";"692.917.651-63"
2;"Luiz";"Alves";"35059-660";"350.768.899-92"
2;"Matilde";"Santos";"03828-035";"693.983.184-31"
2;"Tomás";"Dias";"18279-420";"268.339.642-20"
2;"Fernanda";"Ferreira";"45823-470";"561.681.890-92"
1;"Raissa";"Gomes";"74594-030";"288.165.077-56"
2;"Fernanda";"Dias";"12209-320";"637.257.752-65"
1;"Tiago";"Araujo";"13185-180";"257.245.146-80"
1;"Gustavo";"Cunha";"59615-210";"464.265.416-05"
1;"Livia";"Martins";"22411-003";"606.604.779-55"
1;"Pedro";"Araujo";"17026-834";"111.451.627-97"
1;"Luiza";"Carvalho";"25075-050";"596.976.978-92"
1;"Estevan";"Pereira";"95012-400";"557.724.131-63"
1;"Maria";"Castro";"82710-040";"712.338.933-60"
2;"Matilde";"Alves";"75710-460";"360.695.456-56"
2;"Vitor";"Azevedo";"36202-527";"875.717.828-30"
2;"Rafaela";"Barbosa";"26525-700";"227.775.971-62"
1;"Beatrice";"Correia";"65910-270";"548.315.492-40"
2;"Antônio";"Santos";"60733-545";"687.706.364-35"
1;"Vinicius";"Sousa";"13603-040";"414.651.072-40"
2;"Beatriz";"Santos";"25635-400";"427.541.479-93"
1;"Gabrielly";"Gomes";"15052-354";"453.624.015-21"
2;"Vinícius";"Pinto";"18065-310";"292.453.406-27"
2;"Fernanda";"Almeida";"20930-010";"276.848.522-56"
1;"Luís";"Carvalho";"16406-040";"347.234.008-85"
2;"Luis";"Barbosa";"84062-060";"369.449.653-05"
2;"Beatriz";"Martins";"26140-180";"405.972.071-27"
1;"José";"Ribeiro";"75800-040";"128.713.881-05"
1;"Livia";"Azevedo";"56322-350";"239.628.590-47"
1;"Marcos";"Silva";"08664-025";"349.891.530-49"
1;"Anna";"Pereira";"48070-200";"611.989.495-03"
2;"Samuel";"Cardoso";"18052-423";"308.422.183-94"
2;"Aline";"Silva";"54762-195";"511.214.024-02"
2;"Guilherme";"Rocha";"87060-156";"801.171.417-12"
1;"Letícia";"Melo";"24130-356";"991.897.874-04"
1;"Julia";"Barros";"08411-420";"832.373.323-64"
1;"André";"Cavalcanti";"07244-150";"286.203.883-04"
1;"Camila";"Almeida";"26221-180";"856.742.414-30"
2;"Martim";"Cunha";"73005-518";"375.068.768-41"
1;"Eduarda";"Cunha";"83309-380";"475.511.169-23"
2;"Fernanda";"Santos";"51170-610";"159.547.659-87"
1;"Davi";"Araujo";"60864-812";"118.866.622-31"
1;"Antônio";"Carvalho";"12440-450";"851.552.507-06"
2;"Rafaela";"Sousa";"78150-718";"349.609.165-75"
2;"Guilherme";"Araujo";"02368-000";"340.136.262-33"
1;"Giovana";"Ferreira";"55014-510";"485.377.673-79"
1;"Guilherme";"Sousa";"13060-673";"717.595.446-80"
2;"Beatrice";"Rodrigues";"18601-000";"375.590.460-88"
2;"Sophia";"Oliveira";"30628-100";"388.814.261-02"
1;"Gabrielle";"Rocha";"74475-198";"556.765.924-51"
2;"Aline";"Pereira";"52121-425";"801.320.268-21"
1;"Ryan";"Almeida";"70866-030";"164.776.337-10"
2;"Samuel";"Pereira";"69074-620";"427.001.574-86"
1;"Júlia";"Araujo";"12280-034";"519.138.322-28"
1;"Luana";"Dias";"06859-090";"804.255.196-78"
1;"Marina";"Lima";"41204-150";"491.242.142-13"
1;"Marcos";"Araujo";"14702-020";"105.436.323-42"
2;"Evelyn";"Gomes";"07114-000";"882.146.518-75"
2;"Vinicius";"Pinto";"26369-050";"476.722.247-86"
2;"Gabrielle";"Fernandes";"07916-090";"645.537.954-34"
1;"Rebeca";"Souza";"65913-070";"253.921.662-53"
1;"Júlia";"Rocha";"26371-140";"197.279.809-02"
1;"Paulo";"Pinto";"83330-240";"223.527.163-49"
1;"Manuela";"Araujo";"87080-030";"169.675.065-28"
1;"Beatrice";"Azevedo";"85055-120";"456.357.756-16"
1;"Leila";"Correia";"83070-040";"414.373.971-23"
2;"Luís";"Lima";"26040-235";"213.263.758-06"
1;"Giovanna";"Santos";"32619-330";"227.673.883-90"
1;"Miguel";"Cunha";"27261-130";"952.331.398-39"
2;"Carolina";"Sousa";"83708-730";"445.594.425-76"
2;"Isabela";"Costa";"08790-200";"853.947.829-38"
2;"Lavinia";"Silva";"41195-400";"283.844.523-50"
2;"Thaís";"Santos";"49052-320";"383.164.486-10"
2;"Laura";"Silva";"92025-440";"541.645.586-10"
1;"Victor";"Carvalho";"41620-810";"730.257.719-68"
2;"Marina";"Dias";"08090-520";"969.102.453-50"
1;"Lucas";"Melo";"49038-290";"691.225.864-66"
2;"Lara";"Gomes";"74946-210";"504.576.340-73"
1;"Douglas";"Cavalcanti";"58030-002";"349.435.489-89"
2;"Diogo";"Ribeiro";"81200-215";"688.063.248-37"
2;"Kauan";"Pereira";"88138-590";"364.613.035-02"
1;"Gustavo";"Araujo";"07916-000";"794.955.220-48"
2;"Camila";"Santos";"22713-070";"181.268.742-79"
2;"Vinícius";"Barros";"18025-792";"122.232.975-10"
2;"Mariana";"Barbosa";"09791-640";"198.386.281-90"
1;"Giovanna";"Castro";"41820-021";"187.654.867-30"
1;"Maria";"Barbosa";"55028-081";"190.807.065-07"
2;"Diogo";"Rodrigues";"09185-270";"997.032.304-07"
2;"Marcos";"Costa";"54495-610";"756.356.157-91"
1;"Sophia";"Melo";"13207-389";"555.690.199-60"
2;"Clara";"Rodrigues";"26276-220";"774.428.514-01"
1;"Martim";"Rocha";"66033-530";"435.340.054-14"
2;"Douglas";"Cardoso";"54430-660";"894.772.740-70"
1;"Sophia";"Fernandes";"06150-020";"739.357.285-06"
2;"Ágatha";"Rodrigues";"69033-211";"603.019.519-00"
2;"Letícia";"Santos";"27320-760";"446.802.640-55"
1;"Arthur";"Barros";"36038-470";"350.752.968-82"
1;"Laura";"Costa";"38072-106";"993.582.762-31"
1;"Davi";"Santos";"82130-270";"779.534.240-02"
2;"Martim";"Melo";"30710-000";"677.098.089-48"
2;"Clara";"Barros";"72755-010";"328.178.475-55"
1;"Emily";"Fernandes";"03321-050";"109.374.615-71"
1;"Julian";"Ribeiro";"55610-511";"856.706.062-13"
1;"Luana";"Barros";"26050-225";"826.267.385-90"
2;"Miguel";"Cavalcanti";"91110-393";"980.863.024-31"
2;"Leonor";"Melo";"12954-783";"912.731.414-66"
2;"Arthur";"Pinto";"66630-225";"175.321.369-06"
2;"Matilde";"Goncalves";"58020-140";"940.535.613-53"
2;"Giovanna";"Oliveira";"75104-090";"973.127.887-77"
1;"Victor";"Dias";"59129-300";"514.467.518-21"
1;"Alex";"Dias";"60730-210";"295.760.298-99"
1;"Gabrielle";"Ribeiro";"59114-611";"333.101.636-52"
2;"Luiza";"Azevedo";"36307-442";"940.077.474-58"
2;"Murilo";"Ribeiro";"21044-290";"456.459.732-91"
2;"Kauã";"Lima";"28080-240";"628.185.079-36"
1;"Victor";"Melo";"08382-000";"181.682.172-17"
2;"Lavinia";"Pereira";"31525-230";"576.945.749-09"
1;"Bruna";"Gomes";"57025-230";"987.394.462-12"
1;"Beatriz";"Lima";"42809-080";"279.171.685-81"
2;"Manuela";"Castro";"29156-791";"769.438.539-10"
2;"Fábio";"Costa";"17525-400";"458.816.088-52"
2;"Murilo";"Melo";"60165-430";"312.436.708-19"
1;"Miguel";"Castro";"18021-420";"907.140.056-57"
1;"Douglas";"Almeida";"44030-440";"140.673.516-74"
2;"Vinicius";"Pereira";"49080-230";"124.114.272-63"
2;"Gabriel";"Goncalves";"91910-081";"871.067.830-13"
1;"Douglas";"Ferreira";"24320-310";"114.424.716-03"
1;"Danilo";"Souza";"39803-200";"410.282.022-10"
1;"Rebeca";"Melo";"30642-380";"186.422.358-88"
2;"Isabella";"Barbosa";"16406-313";"380.436.277-03"
1;"Fernanda";"Pinto";"54725-550";"101.491.324-17"
1;"Alex";"Alves";"03661-020";"624.537.131-75"
1;"Letícia";"Carvalho";"29048-620";"705.433.236-92"
2;"Joao";"Almeida";"32052-030";"213.649.273-06"
1;"Julia";"Sousa";"41181-035";"653.244.605-08"
2;"Douglas";"Pinto";"05281-080";"873.868.108-06"
2;"Giovana";"Pinto";"79083-452";"563.857.795-56"
1;"Julia";"Barros";"74948-350";"387.014.934-50"
2;"Vitor";"Cunha";"41213-350";"209.288.281-31"
2;"Felipe";"Barbosa";"74988-803";"135.160.363-97"
1;"Alice";"Souza";"18275-670";"159.311.131-26"
2;"Caio";"Ribeiro";"40365-185";"908.377.548-87"
1;"Thaís";"Barros";"55010-591";"339.124.438-07"
2;"Júlio";"Pinto";"23026-200";"116.230.250-01"
1;"Vinicius";"Santos";"83409-158";"730.360.360-32"
1;"Guilherme";"Correia";"24735-565";"290.632.703-48"
1;"Lucas";"Goncalves";"11673-000";"850.055.068-61"
2;"Enzo";"Cunha";"87060-340";"553.275.451-99"
2;"Felipe";"Barros";"72225-050";"257.690.412-26"
2;"Anna";"Oliveira";"09160-209";"511.646.566-78"
2;"Giovanna";"Martins";"79826-160";"383.950.417-13"
1;"André";"Araujo";"13900-309";"766.889.214-13"
2;"Nicole";"Cunha";"03813-430";"209.524.154-10"
1;"Rafael";"Martins";"58301-195";"248.649.080-95"
1;"Clara";"Cavalcanti";"24342-120";"389.940.905-17"
1;"Daniel";"Carvalho";"63010-110";"986.551.285-89"
1;"Rebeca";"Ribeiro";"60421-380";"973.178.003-33"
2;"Pedro";"Dias";"85854-520";"437.308.807-13"
2;"Júlio";"Oliveira";"27321-480";"113.683.658-68"
2;"Sarah";"Cardoso";"13203-300";"273.272.908-69"
1;"Leonardo";"Cunha";"69098-254";"479.130.896-44"
1;"Joao";"Rocha";"30295-170";"518.691.035-05"
2;"Luiz";"Goncalves";"14701-050";"823.141.455-00"
2;"Manuela";"Souza";"29108-210";"834.386.492-17"
2;"Kaua";"Alves";"86042-600";"266.731.888-98"
2;"Arthur";"Cavalcanti";"66095-280";"395.721.319-31"
1;"Fábio";"Souza";"14784-251";"686.280.769-21"
2;"Emilly";"Martins";"12043-470";"933.451.589-90"
2;"Tiago";"Cavalcanti";"08440-260";"865.807.405-66"
2;"Eduardo";"Almeida";"84031-288";"986.467.825-65"
1;"Leonardo";"Cavalcanti";"34575-240";"255.100.401-22"
2;"Murilo";"Melo";"66825-010";"108.291.577-78"
2;"Breno";"Gomes";"11451-010";"433.836.846-28"
1;"Vitória";"Alves";"03820-200";"878.508.222-85"
1;"Matheus";"Goncalves";"39402-451";"633.674.045-51"
1;"Ana";"Souza";"11445-490";"243.583.002-51"
1;"Rebeca";"Goncalves";"35171-321";"188.753.919-04"
1;"Kaua";"Alves";"35701-518";"367.025.267-33"
1;"Gabrielle";"Alves";"19045-510";"264.219.288-11"
2;"Larissa";"Rocha";"08615-180";"730.450.615-67"
1;"Fábio";"Sousa";"33825-610";"250.040.895-74"
2;"Pedro";"Oliveira";"12228-290";"788.810.675-79"
1;"Letícia";"Santos";"53407-000";"405.772.067-70"
1;"Miguel";"Sousa";"65041-580";"912.070.809-26"
1;"Sophia";"Santos";"94035-110";"196.394.835-16"
2;"Evelyn";"Martins";"21360-260";"335.687.480-29"
1;"Sofia";"Ferreira";"19046-150";"622.596.028-78"
2;"Isabelle";"Martins";"75702-534";"902.073.337-00"
2;"Thiago";"Barros";"90040-150";"643.625.286-01"
1;"Júlio";"Azevedo";"17064-270";"885.634.855-12"
1;"Bianca";"Correia";"29100-515";"129.117.584-98"
2;"Júlio";"Gomes";"87035-160";"330.273.420-45"
2;"Igor";"Goncalves";"37701-479";"376.439.609-17"
2;"Leila";"Rocha";"04851-202";"420.129.543-59"
2;"Arthur";"Araujo";"18070-440";"552.117.985-20"
1;"Rafael";"Goncalves";"36771-118";"985.570.969-17"
1;"Breno";"Souza";"22241-090";"175.870.587-61"
1;"Yasmin";"Castro";"94930-180";"387.938.346-40"
1;"Leila";"Oliveira";"84016-230";"720.806.523-38"
1;"Eduarda";"Almeida";"04117-060";"678.843.829-38"
1;"Gabrielle";"Dias";"74180-110";"350.645.514-10"
2;"Sofia";"Carvalho";"52130-400";"282.670.768-08"
2;"Isabela";"Alves";"39401-416";"516.313.266-00"
2;"Thaís";"Cardoso";"50860-180";"831.586.265-00"
1;"Júlia";"Almeida";"14066-338";"306.764.319-41"
1;"Rebeca";"Gomes";"23826-390";"431.380.873-61"
1;"Thiago";"Melo";"81670-050";"179.373.497-60"
2;"Rebeca";"Pinto";"09581-350";"478.384.432-10"
2;"Rodrigo";"Ribeiro";"74665-550";"804.204.838-61"
1;"Luiz";"Goncalves";"01325-070";"895.813.058-07"
2;"Nicole";"Dias";"11095-550";"215.097.992-65"
1;"Lucas";"Souza";"08695-000";"833.878.548-20"
1;"Ágatha";"Pereira";"18117-227";"786.488.953-08"
1;"Amanda";"Ferreira";"21745-630";"817.374.078-09"
1;"João";"Almeida";"12607-490";"781.117.926-11"
1;"Luan";"Cavalcanti";"12245-811";"796.627.007-65"
1;"Ryan";"Souza";"11013-290";"646.859.782-00"
1;"Gabriela";"Sousa";"08526-000";"675.047.192-77"
1;"Gabriel";"Pinto";"74966-670";"949.112.100-60"
1;"Aline";"Silva";"27320-540";"844.010.873-72"
1;"Lara";"Sousa";"19061-020";"316.623.741-00"
2;"Raissa";"Barbosa";"25230-530";"275.335.286-03"
2;"Yasmin";"Cardoso";"02038-030";"225.181.482-56"
2;"Kauã";"Cavalcanti";"65919-230";"989.493.716-00"
1;"Bianca";"Rodrigues";"58303-125";"928.476.236-71"
1;"Antônio";"Alves";"04853-140";"797.309.868-27"
1;"Luís";"Lima";"01156-060";"342.049.303-79"
1;"Sofia";"Costa";"07020-071";"724.857.876-20"
2;"Davi";"Melo";"03564-040";"877.410.950-21"
2;"Clara";"Martins";"12289-021";"687.943.067-88"
2;"Vinícius";"Melo";"38066-360";"349.452.483-11"
1;"Gabriel";"Costa";"44023-260";"318.812.680-80"
2;"Rafael";"Sousa";"18304-010";"667.671.251-21"
1;"Luis";"Costa";"29149-770";"153.874.234-99"
2;"Laura";"Dias";"07942-030";"684.313.312-67"
2;"Isabela";"Ferreira";"72331-014";"175.229.871-30"
2;"Vitór";"Cavalcanti";"08596-530";"691.732.099-45"
2;"Gabriela";"Cunha";"28055-210";"972.062.781-67"
2;"Lara";"Cavalcanti";"83601-756";"879.483.747-36"
2;"Danilo";"Fernandes";"37056-370";"535.735.171-61"
2;"Thiago";"Rodrigues";"06846-120";"153.828.161-90"
2;"Melissa";"Fernandes";"21241-220";"349.818.108-49"
1;"Carla";"Sousa";"09273-045";"454.519.607-12"
2;"Vitoria";"Ferreira";"06840-370";"453.884.676-78"
1;"Fernanda";"Barbosa";"98802-270";"352.912.188-60"
2;"Vitoria";"Pereira";"20531-575";"419.196.275-29"
1;"Rodrigo";"Goncalves";"83304-260";"311.739.690-04"
2;"Martim";"Dias";"41635-750";"849.345.551-29"
1;"Julia";"Almeida";"03433-080";"523.901.519-81"
2;"Pedro";"Goncalves";"29153-180";"914.636.053-07"
2;"Vitór";"Oliveira";"96076-120";"805.274.929-81"
1;"Larissa";"Barros";"92025-830";"964.171.628-00"
2;"Nicole";"Cunha";"06810-770";"475.419.684-80"
2;"Diogo";"Martins";"89211-100";"596.743.178-05"
2;"Luiz";"Cunha";"65634-340";"564.049.998-20"
2;"Brenda";"Fernandes";"18607-650";"565.490.676-34"
1;"Vitoria";"Araujo";"38035-320";"412.694.878-33"
1;"Leonardo";"Araujo";"95045-200";"712.224.148-30"
1;"Bruna";"Santos";"72510-507";"952.478.390-80"
2;"Breno";"Fernandes";"13474-189";"598.020.337-07"
1;"Tânia";"Alves";"44031-610";"498.328.958-55"
1;"Aline";"Barbosa";"86701-400";"315.470.566-06"
1;"Júlia";"Oliveira";"29164-460";"672.634.310-84"
1;"Leonardo";"Cardoso";"24470-450";"657.549.955-47"
2;"Joao";"Barros";"54325-312";"304.173.802-32"
2;"Leonor";"Pinto";"99042-030";"941.141.351-03"
1;"Gustavo";"Correia";"18601-629";"495.699.855-42"
1;"Igor";"Fernandes";"83045-150";"871.428.151-16"
1;"Giovana";"Costa";"88817-102";"108.636.768-55"
2;"Marcos";"Correia";"67130-685";"298.124.119-25"
1;"Julieta";"Pereira";"74369-037";"198.559.581-87"
2;"Manuela";"Alves";"71952-520";"149.819.834-17"
2;"Beatrice";"Azevedo";"74920-640";"670.313.907-53"
1;"Kauã";"Pereira";"89026-420";"507.928.911-20"
2;"Emilly";"Pinto";"06657-110";"763.485.077-26"
2;"Giovana";"Rocha";"64005-080";"716.667.863-14"
2;"Julian";"Ferreira";"24751-020";"661.485.498-40"
1;"Estevan";"Carvalho";"64046-490";"265.880.507-12"
2;"Marcos";"Pereira";"27275-450";"489.086.707-42"
1;"Joao";"Pereira";"24720-080";"462.186.419-02"
2;"Enzo";"Martins";"61650-300";"899.012.454-94"
2;"Enzo";"Almeida";"04011-090";"884.465.317-63"
1;"Fábio";"Cavalcanti";"18110-070";"966.747.442-98"
1;"Guilherme";"Rocha";"27150-500";"714.410.138-22"
1;"Paulo";"Santos";"32140-305";"829.293.811-75"
2;"Isabela";"Dias";"02227-200";"381.703.008-86"
2;"Tiago";"Sousa";"12229-382";"383.545.241-08"
2;"Laura";"Oliveira";"77001-678";"178.422.910-55"
2;"Sarah";"Souza";"60352-010";"988.199.615-55"
1;"Douglas";"Cunha";"82110-160";"243.807.079-03"
1;"Rafael";"Barros";"94050-310";"864.940.030-28"
2;"Sarah";"Dias";"81170-707";"493.122.446-63"
1;"Tiago";"Melo";"93044-130";"742.613.369-95"
2;"Diogo";"Ribeiro";"94970-610";"504.758.559-06"
2;"Enzo";"Rodrigues";"72220-225";"717.812.211-03"
1;"Kauê";"Melo";"05891-150";"936.314.538-76"
1;"Vinicius";"Rodrigues";"13206-051";"355.411.908-35"
2;"Ryan";"Sousa";"25060-270";"491.080.145-66"
2;"Thaís";"Alves";"60546-140";"105.900.054-72"
1;"Mateus";"Costa";"12289-001";"963.880.801-20"
2;"Julieta";"Gomes";"81670-330";"401.447.243-40"
2;"Mateus";"Goncalves";"30666-766";"886.990.865-80"
2;"Isabelle";"Martins";"17032-640";"535.589.454-25"
2;"Julieta";"Cavalcanti";"78028-075";"364.588.708-33"
2;"Ryan";"Melo";"85802-160";"569.309.332-87"
2;"Lucas";"Cardoso";"78735-633";"871.973.613-46"
1;"Lara";"Carvalho";"12507-110";"391.125.847-03"
1;"Renan";"Dias";"95020-030";"815.104.754-27"
2;"Beatriz";"Araujo";"60184-140";"752.796.295-02"
1;"Emily";"Pinto";"14406-322";"956.038.459-70"
2;"Thaís";"Dias";"89023-230";"923.334.956-00"
2;"Vitór";"Costa";"54768-295";"901.581.317-54"
1;"Nicolash";"Alves";"31620-510";"660.890.969-11"
2;"Julieta";"Lima";"13841-069";"888.696.131-60"
2;"Julieta";"Correia";"06328-120";"612.885.596-23"
1;"Sofia";"Ribeiro";"04511-030";"412.197.966-46"
1;"Anna";"Gomes";"11463-170";"634.214.843-09"
2;"Anna";"Ribeiro";"30840-750";"992.073.183-85"
1;"Raissa";"Pereira";"08564-010";"515.028.839-02"
1;"Vitór";"Ferreira";"88301-303";"417.760.831-99"
1;"Aline";"Araujo";"22241-330";"931.999.350-52"
2;"Fábio";"Santos";"49087-330";"219.850.547-95"
2;"Ana";"Dias";"59114-750";"422.902.266-29"
1;"Vinícius";"Rocha";"66020-160";"413.672.226-56"
1;"Ana";"Pinto";"86801-120";"336.247.055-63"
2;"Camila";"Martins";"29050-335";"109.198.179-55"
2;"Bruna";"Santos";"69058-556";"615.477.591-19"
2;"Guilherme";"Souza";"65058-410";"507.117.805-28"
1;"Yasmin";"Cardoso";"26225-720";"981.443.026-99"
1;"Matheus";"Gomes";"68625-005";"576.140.785-00"
1;"Beatrice";"Gomes";"26210-150";"114.256.661-75"
1;"Gabriela";"Araujo";"14166-080";"392.701.444-37"
1;"Beatrice";"Silva";"75084-650";"497.647.641-34"
1;"Evelyn";"Alves";"18203-320";"614.775.255-30"
2;"Beatrice";"Lima";"66079-120";"643.749.238-45"
1;"Felipe";"Gomes";"64055-710";"957.258.115-57"
2;"Isabella";"Cunha";"74914-620";"257.426.914-40"
1;"André";"Pereira";"05003-040";"201.089.241-06"
1;"Kai";"Santos";"74967-060";"429.519.236-86"
1;"Giovanna";"Cardoso";"29052-310";"673.210.265-66"
1;"Ágatha";"Costa";"25560-050";"908.806.274-92"
2;"Renan";"Oliveira";"06660-030";"703.505.504-50"
1;"Manuela";"Dias";"18110-560";"540.385.693-57"
2;"Marina";"Cunha";"85810-240";"961.016.152-94"
1;"Rafaela";"Souza";"11712-050";"578.485.064-44"
1;"Beatrice";"Ferreira";"71691-235";"398.398.582-38"
1;"Estevan";"Barros";"29145-872";"311.682.489-49"
1;"Enzo";"Carvalho";"33937-345";"893.802.252-88"
1;"Ryan";"Rodrigues";"18114-608";"327.819.571-00"
2;"Marcos";"Santos";"30882-640";"698.220.802-80"
1;"Emilly";"Azevedo";"71825-608";"110.965.642-46"
1;"Maria";"Goncalves";"81250-700";"172.137.929-03"
2;"Brenda";"Azevedo";"78730-170";"787.723.554-25"
2;"Luis";"Costa";"09290-330";"631.418.908-03"
1;"Murilo";"Silva";"01451-001";"682.539.967-56"
2;"Leila";"Cavalcanti";"89046-627";"641.150.146-79"
1;"Antônio";"Pinto";"27277-380";"791.687.441-53"
1;"Julieta";"Cunha";"99025-190";"700.997.687-20"
1;"Diogo";"Pereira";"86181-510";"855.763.902-37"
2;"Leila";"Ferreira";"05336-060";"869.106.155-30"
2;"José";"Sousa";"53260-080";"813.113.163-70"
2;"Isabelle";"Pereira";"72715-012";"307.417.731-47"
2;"Vinícius";"Correia";"25015-326";"829.335.384-82"
2;"Vinicius";"Souza";"29305-485";"751.355.600-84"
2;"Vinícius";"Almeida";"29045-430";"730.539.537-49"
1;"Gabriel";"Barros";"12082-210";"822.602.332-79"
2;"Beatrice";"Cardoso";"13610-020";"909.962.287-21"
1;"Vitória";"Castro";"12507-020";"141.632.807-66"
2;"Vitór";"Carvalho";"74972-320";"942.711.982-93"
2;"Thiago";"Alves";"66652-220";"525.423.512-87"
1;"Bianca";"Barbosa";"58704-020";"827.079.107-59"
2;"Nicolas";"Lima";"35680-116";"298.339.201-52"
1;"Clara";"Goncalves";"84064-577";"169.059.430-61"
2;"Enzo";"Araujo";"86702-300";"986.258.216-26"
1;"Martim";"Lima";"09821-260";"224.556.097-31"
1;"Marisa";"Ferreira";"77023-110";"938.956.795-50"
2;"Diego";"Costa";"85855-627";"549.697.618-92"
1;"Sophia";"Pereira";"78715-658";"148.816.596-34"
1;"Enzo";"Santos";"18130-480";"159.667.384-24"
2;"Luís";"Azevedo";"89228-660";"422.972.859-06"
1;"Sofia";"Alves";"40300-485";"883.771.982-58"
2;"Felipe";"Melo";"18703-581";"456.658.352-00"
2;"Tomás";"Souza";"72320-551";"832.465.057-13"
1;"Kauê";"Barbosa";"58108-033";"329.513.212-79"
2;"Guilherme";"Oliveira";"68628-350";"603.640.419-00"
2;"Igor";"Ribeiro";"04110-020";"330.070.247-06"
2;"Vitor";"Pinto";"14781-725";"963.696.484-00"
2;"Lara";"Almeida";"14708-084";"535.666.423-04"
1;"Júlia";"Cunha";"13872-070";"381.200.337-60"
1;"Isabella";"Souza";"60035-131";"728.721.728-74"
2;"Samuel";"Silva";"40080-035";"257.492.948-97"
1;"Fábio";"Ribeiro";"14030-622";"105.942.707-90"
1;"Martim";"Sousa";"91795-390";"662.943.964-33"
2;"Cauã";"Ribeiro";"38082-072";"244.901.816-63"
2;"Caio";"Oliveira";"21381-320";"487.899.201-80"
1;"Fernanda";"Rocha";"78740-470";"299.487.221-83"
2;"Matilde";"Barros";"57025-665";"930.048.249-14"
1;"Paulo";"Barbosa";"21021-040";"211.704.425-52"
2;"Leonardo";"Ferreira";"06422-125";"604.826.644-87"
2;"Júlia";"Cavalcanti";"58025-590";"640.459.374-20"
1;"Rafael";"Oliveira";"60527-290";"492.325.652-42"
